Student_ID,Name,Age,Program,Python,Mathematics,Statistics,Machine_Learning,Attendance
S001,Ali Khan,20,AI,92,88,90,95,96
S002,Sara Ahmed,21,Data Science,81,84,79,82,91
S003,Ahmed Raza,22,Software Engineering,76,80,74,71,87
S004,Fatima Noor,20,AI,95,92,94,96,98
S005,Usman Ali,21,Cyber Security,69,73,70,68,82
S006,Ayesha Malik,22,Data Science,88,90,87,91,95
S007,Hamza Tariq,19,AI,78,81,80,79,89
S008,Zain Abbas,20,Software Engineering,85,83,82,86,90
S009,Maria Khan,21,Data Science,91,89,93,90,97
S010,Bilal Ahmed,22,Cyber Security,72,70,68,74,85
S011,Hira Javed,20,AI,96,95,94,97,99
S012,Talha Iqbal,23,Software Engineering,83,86,81,84,92
S013,Noor Fatima,21,Data Science,87,85,89,90,94
S014,Saad Ali,20,Cyber Security,65,69,67,66,80
S015,Amna Riaz,22,AI,90,91,88,92,96
S016,Hassan Shah,21,Software Engineering,79,77,81,80,88
S017,Maham Khalid,20,Data Science,93,94,92,95,98
S018,Umer Farooq,22,Cyber Security,74,76,73,75,84
S019,Laiba Aslam,21,AI,89,87,90,91,95
S020,Danish Malik,23,Software Engineering,82,84,83,85,90
S021,Iqra Butt,20,Data Science,94,96,95,97,99
S022,Raza Haider,22,Cyber Security,68,71,69,70,81
S023,Sana Tariq,21,AI,86,88,84,87,93
S024,Muhammad Hamza,20,Software Engineering,77,79,76,78,87
S025,Areeba Khan,22,Data Science,91,92,90,93,97
S026,Shahzaib Ali,21,Cyber Security,73,75,72,74,83
S027,Komal Asif,20,AI,97,98,96,99,100
S028,Faizan Ahmed,23,Software Engineering,84,82,85,83,91
S029,Minal Rauf,21,Data Science,89,90,88,91,95
S030,Haris Saleem,22,Cyber Security,71,72,70,73,82
